sex,race,age,reincarcerated,state
Male,White,29.2,FALSE,Iowa
Male,Asian or Pacific Islander,37.4,FALSE,Iowa
Male,Black,25.1,FALSE,Iowa
Male,Asian or Pacific Islander,28.6,FALSE,Iowa
Male,Black,22.1,FALSE,Iowa
Male,White,33.7,FALSE,Iowa
Male,White,26.2,FALSE,Iowa
Male,White,39.4,FALSE,Iowa
Male,White,23.3,TRUE,Iowa
Male,White,28.3,FALSE,Iowa
Male,Black,27.3,FALSE,Iowa
Male,White,21.1,FALSE,Iowa
Male,White,24.3,TRUE,Iowa
Female,White,42.2,FALSE,Iowa
Male,White,31.4,FALSE,Iowa
Male,White,25.6,FALSE,Iowa
Male,White,25.7,FALSE,Iowa
Male,Hispanic,19,FALSE,Iowa
Female,White,34.5,FALSE,Iowa
Male,White,34,FALSE,Iowa
Male,White,24.3,FALSE,Iowa
Male,Black,42.4,FALSE,Iowa
Male,Black,30.4,FALSE,Iowa
Female,White,45.7,FALSE,Iowa
Male,White,24.5,FALSE,Iowa
Male,White,18.5,FALSE,Iowa
Male,American Indian or Alaska Native,25.1,FALSE,Iowa
Male,White,36.6,FALSE,Iowa
Female,White,48.8,FALSE,Iowa
Male,White,37.9,FALSE,Iowa
Male,White,31.1,FALSE,Iowa
Male,White,45.9,FALSE,Iowa
Male,White,19.5,FALSE,Iowa
Female,White,25,FALSE,Iowa
Male,White,27.7,TRUE,Iowa
Male,White,53.7,FALSE,Iowa
Male,Black,54.4,FALSE,Iowa
Male,White,57.4,FALSE,Iowa
Female,White,53.3,FALSE,Iowa
Male,White,51.5,FALSE,Iowa
Male,White,36.2,FALSE,Iowa
Male,White,34.6,FALSE,Iowa
Male,White,36.2,FALSE,Iowa
Female,White,34.6,TRUE,Iowa
Male,White,28.8,FALSE,Iowa
Female,White,25,FALSE,Iowa
Male,White,21.2,FALSE,Iowa
Male,Black,23.7,FALSE,Iowa
Male,White,36.7,TRUE,Iowa
Male,White,40.5,FALSE,Iowa
Male,White,18.5,FALSE,Iowa
Male,Other,25.5,FALSE,Iowa
Male,White,19.4,FALSE,Iowa
Female,White,34.8,TRUE,Iowa
Female,White,46.3,FALSE,Iowa
Male,White,35.3,FALSE,Iowa
Female,Black,34.3,FALSE,Iowa
Female,Black,27.4,FALSE,Iowa
Male,White,28.7,FALSE,Iowa
Male,White,18.5,FALSE,Iowa
Male,White,24.8,FALSE,Iowa
Female,Black,22,FALSE,Iowa
Female,White,18.8,FALSE,Iowa
Male,White,20.4,FALSE,Iowa
Male,Black,38.6,TRUE,Iowa
Male,White,29.9,FALSE,Iowa
Female,White,23.7,FALSE,Iowa
Female,White,20.7,FALSE,Iowa
Male,Black,19.8,FALSE,Iowa
Female,White,18.4,FALSE,Iowa
Male,White,29.8,FALSE,Iowa
Male,White,29.2,FALSE,Iowa
Male,White,36.1,FALSE,Iowa
Male,White,20.9,FALSE,Iowa
Male,White,19.2,FALSE,Iowa
Male,White,23.1,FALSE,Iowa
Male,White,32,FALSE,Iowa
Male,White,61.2,FALSE,Iowa
Female,Hispanic,21.4,FALSE,Iowa
Female,White,24.6,FALSE,Iowa
Female,White,24.4,FALSE,Iowa
Male,White,25.2,TRUE,Iowa
Male,White,26.6,FALSE,Iowa
Male,White,42.1,FALSE,Iowa
Male,White,29.6,FALSE,Iowa
Female,Black,39.2,FALSE,Iowa
Male,White,19.8,FALSE,Iowa
Male,White,18.4,FALSE,Iowa
Male,Black,36.5,FALSE,Iowa
Male,White,23.3,FALSE,Iowa
Female,White,21,FALSE,Iowa
Male,White,28.5,FALSE,Iowa
Male,White,18.5,TRUE,Iowa
Female,White,57.4,FALSE,Iowa
Female,White,26.9,TRUE,Iowa
Female,Black,24.4,FALSE,Iowa
Male,White,22.2,TRUE,Iowa
Female,White,43,FALSE,Iowa
Female,White,25.6,FALSE,Iowa
Male,White,32.4,FALSE,Iowa
Female,Black,27.8,FALSE,Iowa
Male,White,19.4,FALSE,Iowa
Male,White,23.2,FALSE,Iowa
Male,Black,21.8,TRUE,Iowa
Male,White,20,FALSE,Iowa
Female,White,19.5,FALSE,Iowa
Male,White,30.7,TRUE,Iowa
Female,White,23.7,FALSE,Iowa
Male,White,35.9,FALSE,Iowa
Male,American Indian or Alaska Native,18.7,FALSE,Iowa
Male,Hispanic,18.8,FALSE,Iowa
Male,White,47.6,FALSE,Iowa
Male,White,40.3,FALSE,Iowa
Female,White,30.3,FALSE,Iowa
Female,Black,18.5,TRUE,Iowa
Female,White,34.2,FALSE,Iowa
Male,American Indian or Alaska Native,28,FALSE,Iowa
Female,White,38.5,FALSE,Iowa
Female,White,33.4,FALSE,Iowa
Male,White,34.8,FALSE,Iowa
Female,White,34.8,FALSE,Iowa
Male,Black,19.5,FALSE,Iowa
Male,White,58.8,TRUE,Iowa
Female,White,47.3,FALSE,Iowa
Male,White,57.5,FALSE,Iowa
Male,White,53,FALSE,Iowa
Male,White,41.5,FALSE,Iowa
Male,White,50.1,FALSE,Iowa
Female,Black,52.4,FALSE,Iowa
Male,White,40.3,FALSE,Iowa
Male,White,46.6,FALSE,Iowa
Female,Black,43.9,FALSE,Iowa
Male,White,31.9,TRUE,Iowa
Male,Hispanic,34.9,FALSE,Iowa
Male,White,28.1,FALSE,Iowa
Male,White,41.8,FALSE,Iowa
Female,Hispanic,40.1,FALSE,Iowa
Male,Hispanic,24.3,FALSE,Iowa
